coin,series_ticker,market_ticker,close_time,result,window_label,window_seconds,cutoff_time,observed_ts,yes_price,favorite_side,favorite_price,winning_side,won,pnl_per_contract,ev_per_dollar_risked,tradeable,dried_up_by_window,favorite_price_cents,threshold_bucket_cents
SOL,KXSOL15M,KXSOL15M-26APR061915-15,2026-04-06 23:15:00+00:00,no,T-3m,180,2026-04-06 23:12:00+00:00,2026-04-06 23:12:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061915-15,2026-04-06 23:15:00+00:00,no,T-2m,120,2026-04-06 23:13:00+00:00,2026-04-06 23:13:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061915-15,2026-04-06 23:15:00+00:00,no,T-90s,90,2026-04-06 23:13:30+00:00,2026-04-06 23:13:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061915-15,2026-04-06 23:15:00+00:00,no,T-60s,60,2026-04-06 23:14:00+00:00,2026-04-06 23:14:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061900-00,2026-04-06 23:00:00+00:00,no,T-5m,300,2026-04-06 22:55:00+00:00,2026-04-06 22:55:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061900-00,2026-04-06 23:00:00+00:00,no,T-4m,240,2026-04-06 22:56:00+00:00,2026-04-06 22:56:00+00:00,0.006,no,0.994,True,True,0.005580000000000004,0.005613682092555337,False,True,99.4,98.0
SOL,KXSOL15M,KXSOL15M-26APR061900-00,2026-04-06 23:00:00+00:00,no,T-3m,180,2026-04-06 22:57:00+00:00,2026-04-06 22:57:00+00:00,0.006,no,0.994,True,True,0.005580000000000004,0.005613682092555337,False,True,99.4,98.0
SOL,KXSOL15M,KXSOL15M-26APR061900-00,2026-04-06 23:00:00+00:00,no,T-2m,120,2026-04-06 22:58:00+00:00,2026-04-06 22:58:00+00:00,0.002,no,0.998,True,True,0.0018600000000000016,0.0018637274549098213,False,True,99.8,98.0
SOL,KXSOL15M,KXSOL15M-26APR061900-00,2026-04-06 23:00:00+00:00,no,T-90s,90,2026-04-06 22:58:30+00:00,2026-04-06 22:58:00+00:00,0.002,no,0.998,True,True,0.0018600000000000016,0.0018637274549098213,False,True,99.8,98.0
SOL,KXSOL15M,KXSOL15M-26APR061900-00,2026-04-06 23:00:00+00:00,no,T-60s,60,2026-04-06 22:59:00+00:00,2026-04-06 22:59:00+00:00,0.002,no,0.998,True,True,0.0018600000000000016,0.0018637274549098213,False,True,99.8,98.0
SOL,KXSOL15M,KXSOL15M-26APR061845-45,2026-04-06 22:45:00+00:00,no,T-5m,300,2026-04-06 22:40:00+00:00,2026-04-06 22:40:00+00:00,0.02,no,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061845-45,2026-04-06 22:45:00+00:00,no,T-4m,240,2026-04-06 22:41:00+00:00,2026-04-06 22:41:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
